"Statistic Label","Year","Household Composition","UNIT","VALUE"
"Mean Equivalised Nominal Disposable Income","2022","Other households with children under 18 years","Euro",""
"At Risk of Poverty Rate","2020","1 adult aged 65 years and over","%","20.5"
"At Risk of Poverty Rate","2020","1 adult aged less than 65 years","%","28.9"
"At Risk of Poverty Rate","2020","2 adults, at least 1 aged 65 years and over","%","4.5"
"At Risk of Poverty Rate","2020","2 adults, both aged less than 65 years","%","8.5"
"At Risk of Poverty Rate","2020","3 or more adults","%","7.8"
"At Risk of Poverty Rate","2020","1 adult, with children under 18 years","%","31"
"At Risk of Poverty Rate","2020","2 adults, with 1-3 children under 18 years","%","9.9"
"At Risk of Poverty Rate","2020","Other households with children under 18 years","%","19.5"
"At Risk of Poverty Rate","2021","1 adult aged 65 years and over","%","21.5"
"At Risk of Poverty Rate","2021","1 adult aged less than 65 years","%","28.8"
"At Risk of Poverty Rate","2021","2 adults, at least 1 aged 65 years and over","%","8.9"
"At Risk of Poverty Rate","2021","2 adults, both aged less than 65 years","%","8.2"
"At Risk of Poverty Rate","2021","3 or more adults","%","6.1"
"At Risk of Poverty Rate","2021","1 adult, with children under 18 years","%","22.8"
"At Risk of Poverty Rate","2021","2 adults, with 1-3 children under 18 years","%","9.1"
"At Risk of Poverty Rate","2021","Other households with children under 18 years","%","13.7"
"At Risk of Poverty Rate","2022","1 adult aged 65 years and over","%",""
"At Risk of Poverty Rate","2022","1 adult aged less than 65 years","%",""
"At Risk of Poverty Rate","2022","2 adults, at least 1 aged 65 years and over","%",""
"At Risk of Poverty Rate","2022","2 adults, both aged less than 65 years","%",""
"At Risk of Poverty Rate","2022","3 or more adults","%",""
"At Risk of Poverty Rate","2022","1 adult, with children under 18 years","%",""
"At Risk of Poverty Rate","2022","2 adults, with 1-3 children under 18 years","%",""
"At Risk of Poverty Rate","2022","Other households with children under 18 years","%",""
"Deprivation Rate","2020","1 adult aged 65 years and over","%","10.6"
"Deprivation Rate","2020","1 adult aged less than 65 years","%","22"
"Deprivation Rate","2020","2 adults, at least 1 aged 65 years and over","%","6.8"
"Deprivation Rate","2020","2 adults, both aged less than 65 years","%","11.7"
"Deprivation Rate","2020","3 or more adults","%","7.8"
"Deprivation Rate","2020","1 adult, with children under 18 years","%","44.1"
"Deprivation Rate","2020","2 adults, with 1-3 children under 18 years","%","12.4"
"Deprivation Rate","2020","Other households with children under 18 years","%","19.2"
"Deprivation Rate","2021","1 adult aged 65 years and over","%","12.1"
"Deprivation Rate","2021","1 adult aged less than 65 years","%","19.6"
"Deprivation Rate","2021","2 adults, at least 1 aged 65 years and over","%","6.9"
"Deprivation Rate","2021","2 adults, both aged less than 65 years","%","15.3"
"Deprivation Rate","2021","3 or more adults","%","10.9"
"Deprivation Rate","2021","1 adult, with children under 18 years","%","44.9"
"Deprivation Rate","2021","2 adults, with 1-3 children under 18 years","%","10.7"
"Deprivation Rate","2021","Other households with children under 18 years","%","15.1"
"Deprivation Rate","2022","1 adult aged 65 years and over","%","15.5"
"Deprivation Rate","2022","1 adult aged less than 65 years","%","25.1"
"Deprivation Rate","2022","2 adults, at least 1 aged 65 years and over","%","7.5"
"Deprivation Rate","2022","2 adults, both aged less than 65 years","%","18.1"
"Deprivation Rate","2022","3 or more adults","%","10.6"
"Deprivation Rate","2022","1 adult, with children under 18 years","%","45.4"
"Deprivation Rate","2022","2 adults, with 1-3 children under 18 years","%","18.2"
"Deprivation Rate","2022","Other households with children under 18 years","%","15.1"
"Consistent Poverty Rate","2020","1 adult aged 65 years and over","%","2.2"
"Consistent Poverty Rate","2020","1 adult aged less than 65 years","%","11.4"
"Consistent Poverty Rate","2020","2 adults, at least 1 aged 65 years and over","%","0.4"
"Consistent Poverty Rate","2020","2 adults, both aged less than 65 years","%","3.5"
"Consistent Poverty Rate","2020","3 or more adults","%","1.1"
"Consistent Poverty Rate","2020","1 adult, with children under 18 years","%","19.3"
"Consistent Poverty Rate","2020","2 adults, with 1-3 children under 18 years","%","3"
"Consistent Poverty Rate","2020","Other households with children under 18 years","%","8.1"
"Consistent Poverty Rate","2021","1 adult aged 65 years and over","%","4.3"
"Consistent Poverty Rate","2021","1 adult aged less than 65 years","%","11.1"
"Consistent Poverty Rate","2021","2 adults, at least 1 aged 65 years and over","%","2.3"
"Consistent Poverty Rate","2021","2 adults, both aged less than 65 years","%","3.4"
"Consistent Poverty Rate","2021","3 or more adults","%","2.2"
"Consistent Poverty Rate","2021","1 adult, with children under 18 years","%","13.1"
"Consistent Poverty Rate","2021","2 adults, with 1-3 children under 18 years","%","3"
"Consistent Poverty Rate","2021","Other households with children under 18 years","%","3.8"
"Consistent Poverty Rate","2022","1 adult aged 65 years and over","%",""
"Consistent Poverty Rate","2022","1 adult aged less than 65 years","%",""
"Consistent Poverty Rate","2022","2 adults, at least 1 aged 65 years and over","%",""
"Consistent Poverty Rate","2022","2 adults, both aged less than 65 years","%",""
"Consistent Poverty Rate","2022","3 or more adults","%",""
"Consistent Poverty Rate","2022","1 adult, with children under 18 years","%",""
"Consistent Poverty Rate","2022","2 adults, with 1-3 children under 18 years","%",""
"Consistent Poverty Rate","2022","Other households with children under 18 years","%",""
