Statistic Label,Year,Principal Economic Status,UNIT,VALUE,File_Name,Highest Level of Education Completed,Household Composition,Number of Persons at Work in the Household,Tenure Status,Urban and Rural,Region,Number of People at Work
Mean Real Household Disposable Income,2020,Unable to work due to long-standing health problems,Euro,28773.0,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2020,"Student, pupil",Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2020,Fulfilling domestic tasks,Euro,45926.0,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2021,Employed,Euro,68142.0,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2021,Unemployed,Euro,39929.0,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2021,Retired,Euro,39657.0,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2021,Unable to work due to long-standing health problems,Euro,28006.0,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2021,"Student, pupil",Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2021,Fulfilling domestic tasks,Euro,46961.0,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2022,Employed,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2022,Unemployed,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2022,Retired,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2022,Unable to work due to long-standing health problems,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2022,"Student, pupil",Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2022,Fulfilling domestic tasks,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2020,Employed,Euro,57124.0,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2020,Unemployed,Euro,27557.0,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2020,Retired,Euro,30260.0,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2020,Unable to work due to long-standing health problems,Euro,20049.0,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2020,"Student, pupil",Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2020,Fulfilling domestic tasks,Euro,39723.0,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2021,Employed,Euro,60619.0,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2021,Unemployed,Euro,33903.0,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2021,Retired,Euro,30182.0,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2021,Unable to work due to long-standing health problems,Euro,19292.0,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2021,"Student, pupil",Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2021,Fulfilling domestic tasks,Euro,39755.0,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2022,Employed,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2022,Unemployed,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2022,Retired,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2022,Unable to work due to long-standing health problems,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2022,"Student, pupil",Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Nominal Household Disposable Income,2022,Fulfilling domestic tasks,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2020,Employed,Euro,64975.0,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2020,Unemployed,Euro,35453.0,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2020,Retired,Euro,38752.0,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2020,Unable to work due to long-standing health problems,Euro,28773.0,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2020,"Student, pupil",Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2020,Fulfilling domestic tasks,Euro,45926.0,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2021,Employed,Euro,67914.0,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2021,Unemployed,Euro,39795.0,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2021,Retired,Euro,39524.0,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2021,Unable to work due to long-standing health problems,Euro,27912.0,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2021,"Student, pupil",Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2021,Fulfilling domestic tasks,Euro,46804.0,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2022,Employed,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2022,Unemployed,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2022,Retired,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2022,Unable to work due to long-standing health problems,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2022,"Student, pupil",Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Nominal Household Disposable Income,2022,Fulfilling domestic tasks,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2020,Employed,Euro,28221.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2020,Unemployed,Euro,16920.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2020,Retired,Euro,22635.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2020,Unable to work due to long-standing health problems,Euro,16670.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2020,"Student, pupil",Euro,21112.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2020,Fulfilling domestic tasks,Euro,18812.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2021,Employed,Euro,30368.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2021,Unemployed,Euro,19622.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2021,Retired,Euro,23248.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2021,Unable to work due to long-standing health problems,Euro,16660.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2021,"Student, pupil",Euro,22952.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2021,Fulfilling domestic tasks,Euro,19717.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2022,Employed,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2022,Unemployed,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2022,Retired,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2022,Unable to work due to long-standing health problems,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2022,"Student, pupil",Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Real Disposable Income,2022,Fulfilling domestic tasks,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2020,Employed,Euro,32191.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2020,Unemployed,Euro,20210.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2020,Retired,Euro,26495.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2020,Unable to work due to long-standing health problems,Euro,19257.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2020,"Student, pupil",Euro,25431.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2020,Fulfilling domestic tasks,Euro,22193.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2021,Employed,Euro,33565.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2021,Unemployed,Euro,22507.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2021,Retired,Euro,27077.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2021,Unable to work due to long-standing health problems,Euro,18996.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2021,"Student, pupil",Euro,25917.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2021,Fulfilling domestic tasks,Euro,24739.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2022,Employed,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2022,Unemployed,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2022,Retired,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2022,Unable to work due to long-standing health problems,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2022,"Student, pupil",Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Real Disposable Income,2022,Fulfilling domestic tasks,Euro,,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2020,Employed,%,6.5,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2020,Unemployed,%,33.2,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2020,Retired,%,9.8,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2020,Unable to work due to long-standing health problems,%,33.4,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2020,"Student, pupil",%,20.3,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2020,Fulfilling domestic tasks,%,20.7,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2021,Employed,%,4.4,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2021,Unemployed,%,23.2,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2021,Retired,%,11.8,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2021,Unable to work due to long-standing health problems,%,39.1,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2021,"Student, pupil",%,17.4,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2021,Fulfilling domestic tasks,%,19.5,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2022,Employed,%,,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2022,Unemployed,%,,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2022,Retired,%,,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2022,Unable to work due to long-standing health problems,%,,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2022,"Student, pupil",%,,SIA62.20221204T051248.csv,,,,,,,
At Risk of Poverty Rate,2022,Fulfilling domestic tasks,%,,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2020,Employed,Euro,28221.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2020,Unemployed,Euro,16920.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2020,Retired,Euro,22635.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2020,Unable to work due to long-standing health problems,Euro,16670.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2020,"Student, pupil",Euro,21112.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2020,Fulfilling domestic tasks,Euro,18812.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2021,Employed,Euro,30266.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2021,Unemployed,Euro,19556.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2021,Retired,Euro,23170.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2021,Unable to work due to long-standing health problems,Euro,16604.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2021,"Student, pupil",Euro,22875.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2021,Fulfilling domestic tasks,Euro,19651.0,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2022,Employed,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2022,Unemployed,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2022,Retired,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2022,Unable to work due to long-standing health problems,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2022,"Student, pupil",Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Equivalised Nominal Disposable Income,2022,Fulfilling domestic tasks,Euro,,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2020,Employed,%,9.2,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2020,Unemployed,%,33.3,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2020,Retired,%,7.0,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2020,Unable to work due to long-standing health problems,%,37.0,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2020,"Student, pupil",%,16.1,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2020,Fulfilling domestic tasks,%,16.5,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2021,Employed,%,8.6,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2021,Unemployed,%,31.6,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2021,Retired,%,7.6,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2021,Unable to work due to long-standing health problems,%,39.6,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2021,"Student, pupil",%,13.0,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2021,Fulfilling domestic tasks,%,15.6,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2022,Employed,%,12.4,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2022,Unemployed,%,45.0,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2022,Retired,%,10.5,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2022,Unable to work due to long-standing health problems,%,42.7,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2022,"Student, pupil",%,19.7,SIA62.20221204T051248.csv,,,,,,,
Deprivation Rate,2022,Fulfilling domestic tasks,%,22.6,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2020,Employed,Euro,32191.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2020,Unemployed,Euro,20210.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2020,Retired,Euro,26495.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2020,Unable to work due to long-standing health problems,Euro,19257.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2020,"Student, pupil",Euro,25431.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2020,Fulfilling domestic tasks,Euro,22193.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2021,Employed,Euro,33453.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2021,Unemployed,Euro,22432.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2021,Retired,Euro,26986.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2021,Unable to work due to long-standing health problems,Euro,18932.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2021,"Student, pupil",Euro,25830.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2021,Fulfilling domestic tasks,Euro,24656.0,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2022,Employed,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2022,Unemployed,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2022,Retired,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2022,Unable to work due to long-standing health problems,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2022,"Student, pupil",Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Equivalised Nominal Disposable Income,2022,Fulfilling domestic tasks,Euro,,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2020,Employed,%,1.6,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2020,Unemployed,%,16.4,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2020,Retired,%,1.1,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2020,Unable to work due to long-standing health problems,%,16.2,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2020,"Student, pupil",%,6.2,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2020,Fulfilling domestic tasks,%,5.8,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2021,Employed,%,0.9,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2021,Unemployed,%,10.2,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2021,Retired,%,2.3,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2021,Unable to work due to long-standing health problems,%,19.2,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2021,"Student, pupil",%,5.7,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2021,Fulfilling domestic tasks,%,5.1,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2022,Employed,%,,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2022,Unemployed,%,,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2022,Retired,%,,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2022,Unable to work due to long-standing health problems,%,,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2022,"Student, pupil",%,,SIA62.20221204T051248.csv,,,,,,,
Consistent Poverty Rate,2022,Fulfilling domestic tasks,%,,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2020,,Euro,24196.0,SIA63.20221204T051239.csv,Primary or below,,,,,,
Median Real Household Disposable Income,2020,,Euro,32150.0,SIA63.20221204T051239.csv,Lower secondary,,,,,,
Median Real Household Disposable Income,2020,,Euro,42642.0,SIA63.20221204T051239.csv,Upper secondary,,,,,,
Median Real Household Disposable Income,2020,,Euro,45735.0,SIA63.20221204T051239.csv,Third level non-degree,,,,,,
Median Real Household Disposable Income,2020,,Euro,58714.0,SIA63.20221204T051239.csv,Third level degree or higher,,,,,,
Median Real Household Disposable Income,2020,,Euro,41401.0,SIA63.20221204T051239.csv,Post leaving certificate,,,,,,
Median Real Household Disposable Income,2021,,Euro,24743.0,SIA63.20221204T051239.csv,Primary or below,,,,,,
Median Real Household Disposable Income,2021,,Euro,31805.0,SIA63.20221204T051239.csv,Lower secondary,,,,,,
Median Real Household Disposable Income,2021,,Euro,47373.0,SIA63.20221204T051239.csv,Upper secondary,,,,,,
Median Real Household Disposable Income,2021,,Euro,50550.0,SIA63.20221204T051239.csv,Third level non-degree,,,,,,
Median Real Household Disposable Income,2021,,Euro,64129.0,SIA63.20221204T051239.csv,Third level degree or higher,,,,,,
Median Real Household Disposable Income,2021,,Euro,42265.0,SIA63.20221204T051239.csv,Post leaving certificate,,,,,,
Median Real Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Primary or below,,,,,,
Median Real Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Lower secondary,,,,,,
Median Real Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Upper secondary,,,,,,
Median Real Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Third level non-degree,,,,,,
Median Real Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Third level degree or higher,,,,,,
Median Real Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Post leaving certificate,,,,,,
Mean Real Household Disposable Income,2020,,Euro,26986.0,SIA63.20221204T051239.csv,Primary or below,,,,,,
Mean Real Household Disposable Income,2020,,Euro,37885.0,SIA63.20221204T051239.csv,Lower secondary,,,,,,
Mean Real Household Disposable Income,2020,,Euro,48150.0,SIA63.20221204T051239.csv,Upper secondary,,,,,,
Mean Real Household Disposable Income,2020,,Euro,53069.0,SIA63.20221204T051239.csv,Third level non-degree,,,,,,
Mean Real Household Disposable Income,2020,,Euro,69308.0,SIA63.20221204T051239.csv,Third level degree or higher,,,,,,
Mean Real Household Disposable Income,2020,,Euro,46808.0,SIA63.20221204T051239.csv,Post leaving certificate,,,,,,
Mean Real Household Disposable Income,2021,,Euro,29295.0,SIA63.20221204T051239.csv,Primary or below,,,,,,
Mean Real Household Disposable Income,2021,,Euro,38880.0,SIA63.20221204T051239.csv,Lower secondary,,,,,,
Mean Real Household Disposable Income,2021,,Euro,53514.0,SIA63.20221204T051239.csv,Upper secondary,,,,,,
Mean Real Household Disposable Income,2021,,Euro,57145.0,SIA63.20221204T051239.csv,Third level non-degree,,,,,,
Mean Real Household Disposable Income,2021,,Euro,72783.0,SIA63.20221204T051239.csv,Third level degree or higher,,,,,,
Mean Real Household Disposable Income,2021,,Euro,47496.0,SIA63.20221204T051239.csv,Post leaving certificate,,,,,,
Mean Real Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Primary or below,,,,,,
Mean Real Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Lower secondary,,,,,,
Mean Real Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Upper secondary,,,,,,
Mean Real Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Third level non-degree,,,,,,
Mean Real Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Third level degree or higher,,,,,,
Mean Real Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Post leaving certificate,,,,,,
Median Nominal Household Disposable Income,2020,,Euro,24196.0,SIA63.20221204T051239.csv,Primary or below,,,,,,
Median Nominal Household Disposable Income,2020,,Euro,32150.0,SIA63.20221204T051239.csv,Lower secondary,,,,,,
Median Nominal Household Disposable Income,2020,,Euro,42642.0,SIA63.20221204T051239.csv,Upper secondary,,,,,,
Median Nominal Household Disposable Income,2020,,Euro,45735.0,SIA63.20221204T051239.csv,Third level non-degree,,,,,,
Median Nominal Household Disposable Income,2020,,Euro,58714.0,SIA63.20221204T051239.csv,Third level degree or higher,,,,,,
Median Nominal Household Disposable Income,2020,,Euro,41401.0,SIA63.20221204T051239.csv,Post leaving certificate,,,,,,
Median Nominal Household Disposable Income,2021,,Euro,24660.0,SIA63.20221204T051239.csv,Primary or below,,,,,,
Median Nominal Household Disposable Income,2021,,Euro,31698.0,SIA63.20221204T051239.csv,Lower secondary,,,,,,
Median Nominal Household Disposable Income,2021,,Euro,47214.0,SIA63.20221204T051239.csv,Upper secondary,,,,,,
Median Nominal Household Disposable Income,2021,,Euro,50381.0,SIA63.20221204T051239.csv,Third level non-degree,,,,,,
Median Nominal Household Disposable Income,2021,,Euro,63914.0,SIA63.20221204T051239.csv,Third level degree or higher,,,,,,
Median Nominal Household Disposable Income,2021,,Euro,42123.0,SIA63.20221204T051239.csv,Post leaving certificate,,,,,,
Median Nominal Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Primary or below,,,,,,
Median Nominal Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Lower secondary,,,,,,
Median Nominal Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Upper secondary,,,,,,
Median Nominal Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Third level non-degree,,,,,,
Median Nominal Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Third level degree or higher,,,,,,
Median Nominal Household Disposable Income,2022,,Euro,,SIA63.20221204T051239.csv,Post leaving certificate,,,,,,
