"Statistic Label","Year","Region","UNIT","VALUE"
"Median Equivalised Nominal Disposable Income","2021","Southern","Euro","23813"
"Median Equivalised Nominal Disposable Income","2021","Eastern and Midland","Euro","27703"
"Median Equivalised Nominal Disposable Income","2022","Northern and Western","Euro",""
"Median Equivalised Nominal Disposable Income","2022","Southern","Euro",""
"Median Equivalised Nominal Disposable Income","2022","Eastern and Midland","Euro",""
"Mean Equivalised Nominal Disposable Income","2020","Northern and Western","Euro","23632"
"Mean Equivalised Nominal Disposable Income","2020","Southern","Euro","25580"
"Mean Equivalised Nominal Disposable Income","2020","Eastern and Midland","Euro","30497"
"Mean Equivalised Nominal Disposable Income","2021","Northern and Western","Euro","26326"
"Mean Equivalised Nominal Disposable Income","2021","Southern","Euro","26301"
"Mean Equivalised Nominal Disposable Income","2021","Eastern and Midland","Euro","31118"
"Mean Equivalised Nominal Disposable Income","2022","Northern and Western","Euro",""
"Mean Equivalised Nominal Disposable Income","2022","Southern","Euro",""
"Mean Equivalised Nominal Disposable Income","2022","Eastern and Midland","Euro",""
"At Risk of Poverty Rate","2020","Northern and Western","%","18.2"
"At Risk of Poverty Rate","2020","Southern","%","15.5"
"At Risk of Poverty Rate","2020","Eastern and Midland","%","10.1"
"At Risk of Poverty Rate","2021","Northern and Western","%","18"
"At Risk of Poverty Rate","2021","Southern","%","14"
"At Risk of Poverty Rate","2021","Eastern and Midland","%","8"
"At Risk of Poverty Rate","2022","Northern and Western","%",""
"At Risk of Poverty Rate","2022","Southern","%",""
"At Risk of Poverty Rate","2022","Eastern and Midland","%",""
"Deprivation Rate","2020","Northern and Western","%","11.3"
"Deprivation Rate","2020","Southern","%","14.7"
"Deprivation Rate","2020","Eastern and Midland","%","15.1"
"Deprivation Rate","2021","Northern and Western","%","10.9"
"Deprivation Rate","2021","Southern","%","16.7"
"Deprivation Rate","2021","Eastern and Midland","%","13"
"Deprivation Rate","2022","Northern and Western","%","15"
"Deprivation Rate","2022","Southern","%","19.6"
"Deprivation Rate","2022","Eastern and Midland","%","16.3"
"Consistent Poverty Rate","2020","Northern and Western","%","4.1"
"Consistent Poverty Rate","2020","Southern","%","5.1"
"Consistent Poverty Rate","2020","Eastern and Midland","%","4.5"
"Consistent Poverty Rate","2021","Northern and Western","%","3.1"
"Consistent Poverty Rate","2021","Southern","%","5.8"
"Consistent Poverty Rate","2021","Eastern and Midland","%","3.1"
"Consistent Poverty Rate","2022","Northern and Western","%",""
"Consistent Poverty Rate","2022","Southern","%",""
"Consistent Poverty Rate","2022","Eastern and Midland","%",""
