"Statistic Label","Year","Number of Persons at Work in the Household","UNIT","VALUE"
"Median Equivalised Nominal Disposable Income","2021","No person","Euro","17374"
"Median Equivalised Nominal Disposable Income","2021","1 person","Euro","23543"
"Median Equivalised Nominal Disposable Income","2021","2 persons","Euro","29985"
"Median Equivalised Nominal Disposable Income","2021","3 or more persons","Euro","31291"
"Median Equivalised Nominal Disposable Income","2022","No person","Euro",""
"Median Equivalised Nominal Disposable Income","2022","1 person","Euro",""
"Median Equivalised Nominal Disposable Income","2022","2 persons","Euro",""
"Median Equivalised Nominal Disposable Income","2022","3 or more persons","Euro",""
"Mean Equivalised Nominal Disposable Income","2020","No person","Euro","20233"
"Mean Equivalised Nominal Disposable Income","2020","1 person","Euro","26020"
"Mean Equivalised Nominal Disposable Income","2020","2 persons","Euro","32686"
"Mean Equivalised Nominal Disposable Income","2020","3 or more persons","Euro","29861"
"Mean Equivalised Nominal Disposable Income","2021","No person","Euro","20804"
"Mean Equivalised Nominal Disposable Income","2021","1 person","Euro","27718"
"Mean Equivalised Nominal Disposable Income","2021","2 persons","Euro","32730"
"Mean Equivalised Nominal Disposable Income","2021","3 or more persons","Euro","34047"
"Mean Equivalised Nominal Disposable Income","2022","No person","Euro",""
"Mean Equivalised Nominal Disposable Income","2022","1 person","Euro",""
"Mean Equivalised Nominal Disposable Income","2022","2 persons","Euro",""
"Mean Equivalised Nominal Disposable Income","2022","3 or more persons","Euro",""
"At Risk of Poverty Rate","2020","No person","%","29.4"
"At Risk of Poverty Rate","2020","1 person","%","15.6"
"At Risk of Poverty Rate","2020","2 persons","%","4.9"
"At Risk of Poverty Rate","2020","3 or more persons","%","4"
"At Risk of Poverty Rate","2021","No person","%","29"
"At Risk of Poverty Rate","2021","1 person","%","12.6"
"At Risk of Poverty Rate","2021","2 persons","%","3"
"At Risk of Poverty Rate","2021","3 or more persons","%","3.6"
"At Risk of Poverty Rate","2022","No person","%",""
"At Risk of Poverty Rate","2022","1 person","%",""
"At Risk of Poverty Rate","2022","2 persons","%",""
"At Risk of Poverty Rate","2022","3 or more persons","%",""
"Deprivation Rate","2020","No person","%","24.5"
"Deprivation Rate","2020","1 person","%","19.3"
"Deprivation Rate","2020","2 persons","%","6.8"
"Deprivation Rate","2020","3 or more persons","%","7.7"
"Deprivation Rate","2021","No person","%","28.6"
"Deprivation Rate","2021","1 person","%","13.8"
"Deprivation Rate","2021","2 persons","%","7.5"
"Deprivation Rate","2021","3 or more persons","%","6"
"Deprivation Rate","2022","No person","%","29.4"
"Deprivation Rate","2022","1 person","%","23"
"Deprivation Rate","2022","2 persons","%","10"
"Deprivation Rate","2022","3 or more persons","%","7"
"Consistent Poverty Rate","2020","No person","%","11.7"
"Consistent Poverty Rate","2020","1 person","%","5.7"
"Consistent Poverty Rate","2020","2 persons","%","1.3"
"Consistent Poverty Rate","2020","3 or more persons","%","0"
"Consistent Poverty Rate","2021","No person","%","12.4"
"Consistent Poverty Rate","2021","1 person","%","3.5"
"Consistent Poverty Rate","2021","2 persons","%","0.5"
"Consistent Poverty Rate","2021","3 or more persons","%","0"
"Consistent Poverty Rate","2022","No person","%",""
"Consistent Poverty Rate","2022","1 person","%",""
"Consistent Poverty Rate","2022","2 persons","%",""
"Consistent Poverty Rate","2022","3 or more persons","%",""
